Country,No. of respondents,No. of colonies going into winter,Overall no. of colonies lost (dead colonies and colonies lost due to queen problems),Overall winter loss rate (%),95% confidence interval for overall winter loss rate. Lower limit,95% confidence interval for overall winter loss rate. Upper limit,Estimated no. of beekeepers in country in 2015
Austria,1289,23418,1897,8.1,7.4,8.8,25000
Belgium,451,4064,494,12.2,10.5,14,9490
Czech Republic,968,17350,1107,6.4,5.8,7.1,57000
Denmark,1186,12359,1913,15.5,14.4,16.7,6200
Estonia,71,5115,792,15.5,12.2,19.5,5969
Finland,299,6072,1043,17.2,15.4,19.1,3000
France,488,36734,4926,13.4,12.2,14.7,41850
Germany,4772,57165,6118,10.7,10.3,11.2,110000
Ireland,427,4059,1199,29.5,27.4,31.7,3000
Israel,49,32165,3362,10.5,8.2,13.2,500
Latvia,472,16367,2462,15,13.1,17.2,4300
Macedonia,296,17288,1378,8,7.1,8.9,3000
N.Ireland,93,574,162,28.2,22.6,34.6,1000
Netherlands,1425,11815,1276,10.8,9.9,11.7,7000
Norway,743,13249,1604,12.1,11,13.3,3500
Poland,492,17822,2012,11.3,10.2,12.5,57550
Scotland,154,701,126,18,14.6,21.9,1400
Slovakia,276,6783,553,8.2,6.8,9.7,17170
Slovenia,267,7910,1127,14.2,11.8,17.1,9000
Sweden,2092,25403,4039,15.9,15.1,16.8,13500
Switzerland,1259,17813,1769,9.9,9.2,10.7,17500
Ukraine,399,13850,1368,9.9,8.5,11.4,254010
Algeria,59,5729,759,13.2,11,15.9,20000
Italy,309,6815,855,12.5,10.9,14.5,55000
Spain,113,10786,2388,22.1,18.7,26,25535
Turkey,139,22160,1702,7.7,5.7,10.2,83467
Croatia,62,4303,706,16.4,11.6,22.7,12500
Lithuania,43,1733,324,18.7,14.4,24,not available
Wales,39,232,52,22.4,16,30.4,4110
Totals,18693,399602,47461,11.9,,,847441
